SOC1_SC1,SOC1_G1
0.372,9684.3056
0.3631,10791.8713
0.3407,10498.6263
0.2961,9952.4646
0.3341,9531.127
0.3425,10455.5687
0.356,9742.7929
0.3107,9904.7895
0.3826,9943.9874
0.3597,10298.8522
0.3695,10011.4921
0.3326,9369.2936
0.3175,8985.2983
0.3874,10300.3421
0.3657,9518.5911
0.3876,10629.7891
0.4113,10051.9139
0.3658,10011.4534
0.3905,10593.9157
0.3045,10067.783
0.3395,11593.0889
0.367,9951.4935
0.3515,10098.11
0.2496,10609.7148
0.3797,10397.012
0.3373,9471.6235
0.4092,9641.9846
0.4168,9694.8896
0.3702,10142.4035
0.381,8437.5368
0.388,9692.5721
0.3653,7499.5743
0.3498,8545.0779
0.381,9184.178
0.3346,10165.9647
0.3659,8021.72
0.4078,17975.4595
0.3557,9767.7549
0.4028,9682.7876
0.3788,10879.5161
0.4111,10390.5015
0.3551,10640.1667
0.3502,11446.0134
0.3888,9927.5753
0.3776,10057.9631
0.3629,8920.3861
0.3378,10243.1296
0.3757,11127.8466
0.3766,9439.8054
0.3985,11058.3025
0.3937,11248.9212
0.3752,11098.06
0.393,15010.2281
0.3455,9470.703
0.3535,10666.0335
0.4033,10097.3016
0.334,9573.9003
0.2979,7976.6613
0.3165,9901.6963
0.3673,9538.7459
0.3962,10247.5943
0.4237,11163.6397
0.3486,10162.0399
0.3765,10956.9664
0.2652,9022.0373
0.3839,10429.1869
0.3567,10165.1978
0.3602,10639.1533
0.4121,11067.8564
0.3391,10269.9692
0.3606,9920.772
0.3181,9466.5678
0.4493,9908.0473
0.347,10281.7654
0.4031,10177.1449
0.3426,9981.8197
0.3977,10218.4693
0.4031,10971.6602
0.3868,10277.4173
0.3481,10003.2246
0.3206,10204.1825
0.3606,10027.8275
0.3319,9755.3433
0.3253,10214.1487
0.2584,13888.0095
0.4118,10588.6498
0.4083,9803.8271
0.3933,9804.8762
0.3623,10085.5694
0.3537,10275.4036
0.4041,9515.8569
0.33,8700.0711
0.3701,10176.7149
0.2638,10178.5137
0.3426,10018.4201
0.3623,9883.044
0.3453,9526.6223
0.3454,9152.7804
0.3582,11197.2392
0.3134,8770.1049
0.369,11144.0603
0.3401,9418.4377
0.3933,10654.2939
0.3945,10151.1955
0.2945,10013.8095
0.3505,9936.4524
0.384,9750.651
0.3561,9799.6251
0.3798,10651.193
0.3466,8914.5784
0.338,9479.1003
0.3217,8894.2651
0.362,9327.968
0.3219,10907.2396
0.2845,8824.1949
0.3436,8701.6097
0.379,9549.9839
0.3814,10545.6279
0.3817,8770.9191
0.4193,9538.4656
0.4433,9578.1722
0.3583,9209.2164
0.3898,10824.1671
0.3438,9963.1891
0.3691,11737.7032
0.3737,10264.9943
0.3564,9786.9133
0.2805,9441.4965
0.351,9600.293
0.3384,9076.8435
0.3562,11041.7574
0.3753,9941.8112
0.4119,10559.7594
0.3767,12648.4345
0.4109,10023.3162
0.4104,9631.5714
0.3355,9982.1959
0.3178,9821.8205
0.3436,9666.0081
0.402,11808.2298
0.3555,9964.1271
0.3233,10151.2944
0.3775,10359.7247
0.3294,8694.6215
0.3662,11264.38
0.3708,9598.6466
0.3525,9597.2248
0.3729,10022.7521
0.3466,10209.1006
0.3525,9121.7812
0.3509,10365.3744
0.3723,9359.292
0.42,8945.4258
0.3434,11938.6609
0.3197,9305.1581
0.3363,10400.632
0.3691,10162.0064
0.3921,9887.2438
0.3555,10348.8862
0.41,9836.3822
0.4082,10051.7457
0.3388,9881.0355
0.3816,9980.6024
0.3193,9648.3618
0.4021,10541.6517
0.352,10077.6792
0.362,10162.337
0.3988,11089.2602
0.3843,10534.7075
0.3539,9912.3379
0.3863,11075.3767
0.3552,9605.9825
0.3926,9435.508
0.4067,9918.7802
0.3672,8953.7761
0.3877,9654.9744
0.2419,9709.9766
0.4059,9488.8289
0.3466,8556.7822
0.3297,9335.4295
0.3731,9559.6036
0.3731,11323.3491
0.3678,10322.4764
0.3274,10457.6122
0.3655,9696.2025
0.3823,10415.102
0.2462,9264.0299
0.4022,10418.739
0.3327,9208.1475
0.3924,10461.7713
0.4333,12864.7941
0.3617,10163.0719
0.3814,9312.0122
0.3728,10809.4468
0.3498,9740.7688
0.4136,9635.4649
0.3819,10487.2621
0.3652,9403.7364
0.3732,10488.3666
0.3675,10678.9401
0.1748,8929.9016
0.2888,8997.2945
0.3906,9182.319
0.4374,9909.0215
0.3742,9364.1469
0.367,9717.8755
0.3409,9197.7487
0.3675,8525.5289
0.2646,9153.7233
0.4052,9984.5184
0.4444,10475.5455
0.3262,10607.3643
0.3659,9687.9647
0.3471,10036.0732
0.3503,9886.0196
0.3987,8283.5704
0.3881,10678.9235
0.3613,10879.8037
0.3687,10483.5275
0.3481,10666.0465
0.4074,10473.9945
0.3428,9123.9554
0.3699,10411.8273
0.3518,9124.4938
0.3522,9885.0143
0.3524,9661.1793
0.3755,10732.2809
0.3643,9722.3977
0.3886,12965.5391
0.369,9626.6727
0.3463,9736.6623
0.355,9243.5039
0.3475,10331.3145
0.339,10115.9272
0.358,9708.7548
0.3618,9425.1327
0.3836,10718.4362
0.3109,9738.3018
0.3769,10021.9378
0.3432,9640.9157
0.418,11727.0841
0.3519,12324.0654
0.3072,9442.468
0.3494,9831.6445
0.3795,12336.9741
0.3381,9349.584
0.358,9046.259
0.3533,10333.9236
0.328,12217.867
0.3313,9199.1339
0.3819,8342.5268
0.3589,9666.9038
0.3786,9785.3377
0.3304,9019.3268
0.4404,10668.4416
0.3614,9936.3455
0.3845,9845.8085
